                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.91628,                0.54103,                  1.083,                0.65213,                0.68656,                0.67906,                0.46716,                 1.2057,                0.83268,                 1.3419,             0.00019821,             0.00019821,             0.00019821
                     91,                0.91504,                0.51864,                 1.0965,                0.68364,                0.62382,                0.66148,                 0.4561,                 1.2019,                 0.8082,                  1.339,              0.0001817,              0.0001817,              0.0001817
                     92,                0.88978,                0.47658,                 1.0874,                0.68448,                0.64273,                0.66061,                0.45689,                 1.1994,                0.80626,                 1.3442,              0.0001652,              0.0001652,              0.0001652
                     93,                0.88614,                0.47095,                 1.0757,                0.66893,                0.65021,                0.67533,                 0.4654,                 1.2091,                0.82835,                 1.3411,              0.0001487,              0.0001487,              0.0001487
                     94,                0.87703,                0.46535,                 1.0772,                0.61852,                0.67067,                0.66705,                0.46198,                 1.2016,                0.81616,                 1.3445,             0.00013219,             0.00013219,             0.00013219
                     95,                0.87329,                0.46109,                 1.0671,                0.67211,                0.62592,                0.66282,                0.45839,                 1.2065,                0.83218,                 1.3477,             0.00011569,             0.00011569,             0.00011569
                     96,                0.86874,                0.45869,                  1.069,                 0.6621,                0.63722,                0.66206,                0.45909,                 1.2067,                0.82608,                 1.3476,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.86704,                0.45941,                 1.0642,                0.70374,                0.60334,                0.65936,                0.45703,                 1.2099,                0.83183,                 1.3487,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.86502,                0.45441,                 1.0649,                0.68765,                0.61783,                0.65027,                0.45018,                 1.2111,                0.83348,                 1.3483,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                 0.8615,                0.44759,                 1.0626,                0.63384,                0.65794,                0.65888,                0.45544,                 1.2103,                0.83558,                 1.3476,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.86064,                0.44899,                 1.0636,                0.62457,                0.67086,                0.65432,                0.45099,                 1.2116,                0.84276,                 1.3538,             3.3173e-05,             3.3173e-05,             3.3173e-05
